seq_no,Line_Description,contract_number
1043,"LEAD, TENDRIL MRI 52CM",PP-CA-449
1044,"GENERATOR, GALLANT DR ICD",PP-CA-449
1045,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7120Q/65",PP-CA-449
2970,"ADAPTER, UNIPOLAR LEAD 3.2MM LOW-PROFILE CONN TO IS-1 RECEPT 47CM",PP-CA-449
3758,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
3759,"GENERATOR, GALLANT VR ICD",PP-CA-449
6379,"GENERATOR, AVEIR LEADLESS PACEMAKER VR PM 19.5FR 38.5MM RV",PP-CA-449
7730,"GENERATOR, ASSURITY MRI PACER SR RF",PP-CA-449
7731,"LEAD, TENDRILL STS 58",PP-CA-449
7732,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
7733,"LEAD, TENDRIL MRI 46CM",PP-CA-449
7734,"LEAD, TENDRILL STS 52",PP-CA-449
7735,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
12811,"GENERATOR, GALLANT VR ICD",PP-CA-449
12812,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
12813,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
12814,"LEAD, TENDRIL MRI 52CM",PP-CA-449
12815,"LEAD, TENDRILL STS 58",PP-CA-449
12816,"LEAD, TENDRILL STS 46",PP-CA-449
12817,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7122Q/58",PP-CA-449
12818,"GENERATOR, GALLANT DR ICD",PP-CA-449
13786,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
13787,"LEAD, TENDRIL MRI 52CM",PP-CA-449
13788,"LEAD, TENDRILL STS 58",PP-CA-449
13790,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
13791,"LEAD, TENDRILL STS 52",PP-CA-449
13792,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
13793,"LEAD, TENDRILL STS 46",PP-CA-449
13794,"LEAD, TENDRILL STS 52",PP-CA-449
13795,"GENERATOR, GALLANT VR ICD",PP-CA-449
13796,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7120Q/65",PP-CA-449
13797,"GENERATOR, GALLANT VR ICD",PP-CA-449
13799,"GENERATOR, GALLANT DR ICD",PP-CA-449
16052,"STYLET, MOND RVOT 52",PP-CA-449
17420,"STYLET, MOND RVOT 65",PP-CA-449
17422,"LEAD, ISOFLEX OPTIM 1944/52",PP-CA-449
