seq_no,Line_Description,contract_number
807,"REAGENT CHEMISTRY 100 TEST PARATHYROID HORMONE COBAS ELECSYS",PP-LA-524
808,"REAGENT CHEMISTRY 200 TEST THYROID STIMULATING HORMONE ELECSYS",PP-LA-524
880,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
881,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
888,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
889,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
3378,"REAGENT CHEMISTRY 100 TEST CARCINOEMBRYONIC ANTIGEN ELECSYS",PP-LA-524
3379,"REAGENT CHEMISTRY 100 TEST CORTISOL II ELECSYS",PP-LA-524
3381,"REAGENT CHEMISTRY 100 TEST PCT COBAS ELECSYS",PP-LA-524
3382,"CALIBRATOR CHEMISTRY TSH CALSET 4X1.3ML",PP-LA-524
3383,"ASSAY IMMUNOLOGY CUPS/TIPS COMBIMAGAZIN M ELECSYS",PP-LA-524
3384,"CLEANER INSTRUMENT ELECSYS 5X100ML",PP-LA-524
3414,"CONTROL CHEMISTRY PRECI GEN 4 CARDIAC 4X2ML",PP-LA-524
3447,"CALIBRATOR CHEMISTRY PROGESTERONE III CALSET 4ML",PP-LA-524
3448,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
3449,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
3450,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
3451,"REAGENT CHEMISTRY 100 TEST AFP ELECSYS",PP-LA-524
3452,"REAGENT CHEMISTRY 100 TEST CA 125 II ELECSYS",PP-LA-524
3453,"REAGENT CHEMISTRY 100 TEST CA19-9 ELECSYS COBAS E",PP-LA-524
3454,"REAGENT CHEMISTRY 100 TEST ESTRADIOL III ELECSYS COBAS E",PP-LA-524
3455,"REAGENT FSH TESTPACK 100 TEST ELECSYS COBAS E",PP-LA-524
3456,"REAGENT CHEMISTRY 100 TEST LH ELECSYS COBAS E",PP-LA-524
3457,"REAGENT CHEMISTRY 100 TEST PROGESTERONE III ELECSYS COBAS E",PP-LA-524
3458,"REAGENT CHEMISTRY 100 TEST PROLACTIN II ELECSYS COBAS E",PP-LA-524
3459,"REAGENT CHEMISTRY 100 TEST TESTOSTERONE II ELECSYS",PP-LA-524
3460,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
3462,"proBNP G2 STAT Elecsys cobas e100 V2.1",PP-LA-524
4227,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
4228,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
4274,"ASSAY IMMUNOLOGY CUPS/TIPS COMBIMAGAZIN M ELECSYS",PP-LA-524
5099,"CONTROL CHEMISTRY CLEAN CELL M ELECSYS COBAS E 2X2LT",PP-LA-524
5100,"CONTROL CHEMISTRY PRO-CELL M (2X2L) ELECSYS COBAS E 2X2LT",PP-LA-524
5101,"CONTROL CHEMISTRY PRE CLEAN M ELECSYS 600ML",PP-LA-524
5102,"ASSAY IMMUNOLOGY CUPS/TIPS COMBIMAGAZIN M ELECSYS",PP-LA-524
5937,"CONTROL CHEMISTRY CLEAN CELL M ELECSYS COBAS E 2X2LT",PP-LA-524
5938,"CONTROL CHEMISTRY PRO-CELL M (2X2L) ELECSYS COBAS E 2X2LT",PP-LA-524
5939,"CONTROL CHEMISTRY PRE CLEAN M ELECSYS 600ML",PP-LA-524
5940,"ASSAY IMMUNOLOGY CUPS/TIPS COMBIMAGAZIN M ELECSYS",PP-LA-524
11067,"REAGENT CHEMISTRY 100 TEST PTH-STAT COBAS E ELECSYS",PP-LA-524
11125,"Troponin PC Elecsys",PP-LA-524
11129,"Troponin T Gen 5 STAT CS Elecsys 07398271160",PP-LA-524
13464,"REAGENT CHEMISTRY ELECSYS proBNP II CalSet Roche number 09315292190",PP-LA-524
16876,"REAGENT DILUENT UNIVERSAL COBAS 2X40ML",PP-LA-524
16877,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
16878,"CLEANER INSTRUMENT ELECSYS 5X100ML",PP-LA-524
16879,"DILUENT CHEMISTRY UNIVERSAL 2 ELECSYS 2X36ML",PP-LA-524
16966,"CALIBRATOR HCG STAT ELECSYS V3 CALSET 1ML",PP-LA-524
16967,"CALIBRATOR CHEMISTRY TSH CALSET 4X1.3ML",PP-LA-524
16969,"CALIBRATOR CHEMISTRY FT4 II CALSET 4ML",PP-LA-524
16971,"CALIBRATOR CHEMISTRY CORTISOL II CALSET",PP-LA-524
16972,"CALIBRATOR CHEMISTRY FERRITIN CALSET 4ML",PP-LA-524
18993,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
18994,"TUBE TEST PICH VALVE COBAS E411",PP-LA-524
18995,"CUP ANALYZER ELECSYS 60X60 REACTION",PP-LA-524
18996,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
18997,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
19002,"REAGENT CHEMISTRY 200 TEST FT4 II ELECSYS",PP-LA-524
19003,"REAGENT CHEMISTRY 100 TEST PCT COBAS ELECSYS",PP-LA-524
19004,"REAGENT FERRITIN GENERATION II",PP-LA-524
19005,"REAGENT CHEMISTRY 200 TEST THYROID STIMULATING HORMONE ELECSYS",PP-LA-524
19006,"REAGENT HCG STAT TESTPACK 100 TEST ELECSYS COBAS E",PP-LA-524
19007,"REAGENT CHEMISTRY 100 TEST PTH-STAT COBAS E ELECSYS",PP-LA-524
20418,"Troponin T G5 STAT Elecsys cobas e100 V2",PP-LA-524
20419,"Troponin T G5 STAT CalSet",PP-LA-524
20420,"REAGENT FERRITIN GENERATION II",PP-LA-524
20421,"REAGENT CHEMISTRY 200 TEST FT4 II ELECSYS",PP-LA-524
