seq_no,Line_Description,contract_number
1399,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
7582,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
17209,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
18979,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 1.5X2CM(RESTRICTED ITEM)",PP-NS-1445
18980,"GRAFT HUMAN PLACENTAL TISSUE LYOPRESERVED GRAFIX PL PRIME 16MM DISC",PP-NS-1445
24142,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
26266,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
30861,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
33594,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
36054,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
45742,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 3X4CM",PP-NS-1445
45743,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 5X5CM",PP-NS-1445
45744,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
50170,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 3X4CM",PP-NS-1445
65053,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
68817,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
70928,"DSG WND OASIS ULTRA 3X7CM 1EA=BX/10",PP-NS-1445
71619,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 5X5CM",PP-NS-1445
71620,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 3X4CM",PP-NS-1445
71621,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 2X3CM",PP-NS-1445
80026,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
99453,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 5X5CM",PP-NS-1445
99454,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 3X4CM",PP-NS-1445
110857,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 5X5CM",PP-NS-1445
110858,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
116297,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
120080,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
123961,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
124790,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 5X5CM",PP-NS-1445
127399,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
129676,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
142986,"GRAFT, CRYOPRESERVED STRAVIX UMBILICAL TISSUE 3X6CM",PP-NS-1445
143950,"DRESSING WND 1-LAYER FEN OASIS 3X7CM",PP-NS-1445
145879,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 5X5CM",PP-NS-1445
145880,"GRAFT, LYOPRESERVED GRAFIXPL PRIME 2X3CM",PP-NS-1445
171921,"DRESSING WND MATRIX OASIS ULTRA 5X7CM",PP-NS-1445
179465,"DRESSING WND 1-LAYER FEN OASIS 3X7CM",PP-NS-1445
