seq_no,Line_Description,contract_number
481,"PAN DUST LOBBY WITH HANDLE BLACK 12X10X6IN",PP-OR-1487
2157,"APPLIER, SURGICLIP III 9.0IN SMALL",PP-OR-1487
2158,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
2331,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
2356,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
2359,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
2360,"RELOAD, ENDO GIA 45MM CURVE TIP ART MED/THCK PURPL",PP-OR-1487
2361,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
2362,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
2363,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
2364,"TROCAR, ENDO CLOSE",PP-OR-1487
3063,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
3067,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
3068,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
3069,"STAPLER, DST SERIES 28 MM W/ 4.8 MM STAPLE",PP-OR-1487
3125,"RELOAD, ENDO GIA 45MM CURVE TIP ART MED/THCK PURPL",PP-OR-1487
3871,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
3904,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
3909,"TROCAR, ENDO CLOSE",PP-OR-1487
3910,"ENDO STITCH, DISP 10MM",PP-OR-1487
3911,"POUCH, SPECIMEN ENDOCATCH II 15MM",PP-OR-1487
3916,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
3917,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
3918,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
3919,"RELOAD, ENDO GIA 45MM CURVE TIP ART MED/THCK PURPL",PP-OR-1487
3920,"RELOAD, ENDO GIA ROT VASCULAR MED TAN 45MM",PP-OR-1487
3921,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
3922,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM EXTRA/THCK",PP-OR-1487
3924,"SCISSOR, ENDO SHEARS 5MM",PP-OR-1487
