id,mpn_raw,mpn_normalized,description_text,manufacturer_raw,source_field,source_system,contract_no
15,1004,1004,"HOTPAC, OVERSIZE 15 X 24","PERFORMANCE HEALTH SUPPLY, INC.",Facility_Product_Description,PO_PREMIER,PP-NS-1680
15,1004,1004,"PAD HEATING MOIST HOTPAC OVERSIZE 15IN X 24IN NECK CERVICAL MICROWAVE ACTIVATION WHITE CANVAS REUSABLE F/HYDROCOLLATOR UPTO 30MIN EA","DJO GLOBAL, INC.",Product_Description,PO_PREMIER,PP-NS-1680
26,1010UY000,1010UY000,"TABLE OVERBED STANDARD 15IN X 30IN X 28-45IN CADILLAC OAK 50LB CAPACITY U-BASE AUTOMATIC WOODGRAIN TOP","AMFAB COMPANY, LLC",Product_Description,PO_PREMIER,PP-NS-1680
26,1010UY000,1010UY000,"TABLE OVERBED STANDARD AUTOMATIC CADILLAC OAK","PERFORMANCE HEALTH INC",Facility_Product_Description,PO_PREMIER,PP-NS-1680
26,1010UY000,1010UY000,"TABLE, STANDARD AUTOMATIC CADILLAC OAK (PT ONLY)","PERFORMANCE HEALTH SUPPLY, INC.",Facility_Product_Description,PO_PREMIER,PP-NS-1680
202,111-3810,1113810,"ARMREST WHEELCHAIR 20INL ELEVATION JAECO RANCHO LATEX-FREE","JAECO ORTHOPEDIC SPECIALTIES, INC.",Product_Description,PO_PREMIER,PP-NS-1680
202,111-3810,1113810,"ARMREST WHEELCHAIR 20INL ELEVATION JAECO RANCHO LA",NULL,Facility_Product_Description,PO_PREMIER,PP-NS-1680
216,11298500160,11298500160,"SOLUTION CHEM ANALYZER ELECSYS SYSCLEAN","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
216,11298500160,11298500160,"CLEANER INSTRUMENT ELECSYS 5X100ML","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
217,1137,1137,"MUG DRINKING INSULATED LIGHTWEIGHT WITH OVERSIZED","PERFORMANCE HEALTH INC",Facility_Product_Description,PO_PREMIER,PP-NS-1680
217,1137,1137,"MUG, 12 OZ INSULATED W/LID","PERFORMANCE HEALTH SUPPLY, INC.",Facility_Product_Description,PO_PREMIER,PP-NS-1680
217,1137,1137,"MUG DRINKING SAMMONS PRESTON INSULATED ADAPTIVE LONG HANDLE POLYPROPYLENE 12OZ CAPACITY W/TUMBLER LID BLUE LATEX-FREE BPA-FREE PHTHALATE-FREE DISHWASHER SAFE","PERFORMANCE HEALTH SUPPLY, INC.",Product_Description,PO_PREMIER,PP-NS-1680
241,11662970122,11662970122,"SOLUTION CHEM ANALYZER ELECSYS CELLCLEANING","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
241,11662970122,11662970122,"SOLUTION CLEANING 380ML 1140 TEST","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
242,11662988122,11662988122,"REAGENT PROCELL 380ML ELECSYS 1140","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
