id,mpn_raw,mpn_normalized,description_text,manufacturer_raw,source_field,source_system,contract_no
1,100,100,"ELECTRODE ELECTROSURGICAL L-HOOK WIRE MONOPOLAR CO","ETHICON INC",Facility_Product_Description,PO_PREMIER,PP-OR-1933
1,100,100,"ELECTRODE, L-HOOK E-Z CLEAN 13 1/4","JOHNSON & JOHNSON HOSPITAL SERVICES",Facility_Product_Description,PO_PREMIER,PP-OR-1933
1,100,100,"ELECTRODE LAPAROSCOPIC MEGADYNE E-Z CLEAN ELECTROSURGICAL MONOPOLAR 5MM STANDARD 33CM L-HOOK WIRE NON-STICK PTFE 6/BX","JOHNSON & JOHNSON HEALTH CARE SYSTEMS INC.",Product_Description,PO_PREMIER,PP-OR-1933
2,1000-0016,10000016,"ORTHOSCAN TAU 1515 MINI C-ARM","ZIEHM-ORTHOSCAN, INC. DBA ORTHOSCAN, INC.",Product_Description,PO_PREMIER,PP-IM-310
2,1000-0016,10000016,"ORTHOSCAN TAU 1515 MINI C-ARM",NULL,Facility_Product_Description,PO_PREMIER,PP-IM-310
3,10004,10004,"ADAPTER CARDIOPLEGIA DLP 3.5IN/10IN CORONARY Y-SHAPED 1-LEG FEMALE LUER W/WHITE CLAMP 20/PK","MEDTRONIC, INC.",Product_Description,PO_PREMIER,PP-OR-1803
3,10004,10004,"ADAPTER, CORONARY PERFUSION","MEDTRONIC CARDIAC SURGERY",Facility_Product_Description,PO_PREMIER,PP-OR-1803
4,10009,10009,"CANNULA PERFUSION DLP 11FR 5.5IN PEDIATRIC ADULT AORTIC ROOT FLANGED TIP W/SS STANDARD INTRO NDL PVC NON-RADIOLUCENT TIP 20/PK","MEDTRONIC, INC.",Product_Description,PO_PREMIER,PP-OR-1803
4,10009,10009,"DLP AORTIC ROOT CANNULA 5.5IN 9G","MEDTRONIC, INC.",Facility_Product_Description,PO_PREMIER,PP-OR-1803
5,10012,10012,"CANNULA PERFUSION DLP 9FR 5.5IN PEDIATRIC ADULT AORTIC ROOT FLANGED TIP W/SS STANDARD INTRO NDL BODY PVC NON-RADIOLUCENT TIP 20/PK","MEDTRONIC, INC.",Product_Description,PO_PREMIER,PP-OR-1803
5,10012,10012,"MEDTRONIC DLP AORTIC ROOT CANNULA 5.5&QUOT; X 12G","MEDTRONIC CARDIAC SURGERY",Facility_Product_Description,PO_PREMIER,PP-OR-1803
6,100145,100145,"TUBING SUCTION/IRRIGATION ENDO SMARTCAP ENDOSCOPIC DISPOSABLE F/OLYMPUS 140/160/180/190 SERIES","STERIS CORPORATION",ContractItemDesc,ITEM_MASTER,PP-OR-2503
6,100145,100145,"SYSTEM, WATER BOTTLE AQUASHIELD","STERIS CORPORATION",ItemDesc,ITEM_MASTER,PP-OR-2503
7,100145CO2,100145CO2,"TUBING SUCTION/IRRIGATION ENDO SMARTCAP W/CO2 F/OLYMPUS 140/160/180 SERIES DISPOSABLE","STERIS CORP",ContractItemDesc,ITEM_MASTER,PP-OR-2503
7,100145CO2,100145CO2,"TUBING SUCTION/IRRIGATION ENDO SMARTCAP W/CO2 F/OLYMPUS 140/160/180 SERIES DISPOSABLE","STERIS CORPORATION",ContractItemDesc,ITEM_MASTER,PP-OR-2503
7,100145CO2,100145CO2,"TUBING IRRIG ENDO SMARTCAP","STERIS CORP",ItemDesc,ITEM_MASTER,PP-OR-2503
7,100145CO2,100145CO2,"CAP, SMART ENDO FOR CO2 TUBING","STERIS CORPORATION",ItemDesc,ITEM_MASTER,PP-OR-2503
7,100145CO2,100145CO2,"TUBING IRRIGATION WITH CO2 OLYMPUS SERIES ENDOSCOP","STERIS CORP",Facility_Product_Description,PO_PREMIER,PP-OR-2000
7,100145CO2,100145CO2,"TUBING IRRIGATION WITH CO2 OLYMPUS SERIES ENDOSCOPE ENDO SMARTCAP","STERIS CORP",Line_Item_Description,PO_WORKDAY,PP-OR-2000
7,100145CO2,100145CO2,"TUBING SUCTION/IRRIGATION ENDO SMARTCAP W/CO2 F/OLYMPUS 140/160/180 SERIES DISPOSABLE","STERIS CORPORATION",Product_Description,PO_PREMIER,PP-OR-2000
8,100145CO2EXT,100145CO2EXT,"TUBING, ENDO SMARTCAP W/CO2 EXT","STERIS CORPORATION",ItemDesc,ITEM_MASTER,PP-OR-2503
8,100145CO2EXT,100145CO2EXT,"TUBING INSUFFLATION ENDO SMARTCAP ENDOSCOPIC 163CM EXTENDED CO2 SOURCE DISPOSABLE F/OLYMPUS 140/160/180/190 SERIES 10/BX","STERIS CORP",ContractItemDesc,ITEM_MASTER,PP-OR-2503
8,100145CO2EXT,100145CO2EXT,"TUBING ENDO WITH EXTENDED CO2 INPUT SMARTCAP FOR OLYMPUS 140/160/180","STERIS CORP",ItemDesc,ITEM_MASTER,PP-OR-2503
