Product_Description,Facility_Product_Description,seq_no,Line_Description
"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",NULL,150252,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM"
"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",NULL,162146,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM"
"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",NULL,162147,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM"
"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",NULL,180766,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM"
"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",NULL,180769,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM"
"DEFIBRILLATOR CARDIAC DUAL CHAMBER IS1 DF4 GALLANTDR 31ML 71GM 51X69X12MM",NULL,180773,"DEFIBRILLATOR CARDIAC DUAL CHAMBER IS1 DF4 GALLANTDR 31ML 71GM 51X69X12MM"
"DEFIBRILLATOR CARDIAC IS1 IS4 DF4 GALLANTHF 34ML 76GM 51X74X12MM",NULL,180776,"DEFIBRILLATOR CARDIAC IS1 IS4 DF4 GALLANTHF 34ML 76GM 51X74X12MM"
"LEAD PACING HEART QUADRIPOLAR PASSIVE FIXATION S CURVE QUARTET LEFT 86CM",NULL,180779,"LEAD PACING HEART QUADRIPOLAR PASSIVE FIXATION S CURVE QUARTET LEFT 86CM"
"DEFIBRILLATOR CARDIAC DUAL CHAMBER IS1 DF4 GALLANTDR 31ML 71GM 51X69X12MM",NULL,914432,"DEFIBRILLATOR CARDIAC DUAL CHAMBER IS1 DF4 GALLANTDR 31ML 71GM 51X69X12MM"
"DEFIBRILLATOR CARDIAC IS1 IS4 DF4 GALLANTHF 34ML 76GM 51X74X12MM",NULL,917158,"DEFIBRILLATOR CARDIAC IS1 IS4 DF4 GALLANTHF 34ML 76GM 51X74X12MM"
"DEFIBRILLATOR CARDIAC IS1 IS4 DF4 GALLANTHF 34ML 76GM 51X74X12MM",NULL,917164,"DEFIBRILLATOR CARDIAC IS1 IS4 DF4 GALLANTHF 34ML 76GM 51X74X12MM"
"LEAD PACING J SHAPED BIPOLAR TINES FIXATION IS1 ISOFLEX OPTIM 46CM",NULL,939216,"LEAD PACING J SHAPED BIPOLAR TINES FIXATION IS1 ISOFLEX OPTIM 46CM"
"LEAD PACING STRAIGHT BIPOLAR TINES FIXATION IS1 ISOFLEX OPTIM 58CM",NULL,939217,"LEAD PACING STRAIGHT BIPOLAR TINES FIXATION IS1 ISOFLEX OPTIM 58CM"
"LEAD PACING J SHAPED BIPOLAR TINES FIXATION IS1 ISOFLEX OPTIM 52CM",NULL,973492,"LEAD PACING J SHAPED BIPOLAR TINES FIXATION IS1 ISOFLEX OPTIM 52CM"
"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM",NULL,1334089,"PACEMAKER CARDIAC DUAL CHAMBER RF TELEMETRY IS1 ASSURITY MRI 10.4ML 20GM 50X6X47MM"
