Contract_ID,Contract_Number,Contract_Title,Contract_Effective_Date,Contract_Expiration_Date,active_flag
5305,42321505,NULL,2025-02-01,2025-02-28,
5383,ACU-LA-065,"DIAGNOSTIC TESTING PRODUCTS",2021-06-01,2026-05-31,
5384,ACU-LA-066,"FLOW CYTOMETRY ANALYZERS",2021-11-01,2027-10-31,
5153,ACU-MM-081,"NEUROLOGY EQUIPMENT AND CONSUMABLES",2021-06-01,2028-04-30,
5385,ACU-MM-082,"AUDITORY PRODUCTS AND RELATED ACCESSORIES",2021-06-01,2028-06-30,
4731,ACU-NS-039,"BREAST PUMPS AND ACCESSORIES",2021-06-01,2028-03-31,
4833,ACU-NS-043,"GENERAL UROLOGICAL PRODUCTS",2021-06-01,2028-02-29,
5311,ACU-NS-072,NULL,2021-01-01,2022-11-30,
4965,ACU-OR-060,"CHEST DRAINAGE PRODUCTS",2021-09-01,2027-02-28,
5303,ACU-OR-071,"SPECIALTY UROLOGICAL PRODUCTS",2021-06-01,2027-01-31,
5386,ACU-OR-072,"REGIONAL ANESTHESIA TRAYS",2025-06-01,2028-03-31,
5195,AD-DI-2165,"ENTERAL NUTRITION",2023-08-01,2026-07-31,
5013,AD-FA-2140,"HOUSEKEEPING AND LAUNDRY PRODS",2025-01-01,2029-12-31,
5387,AD-FA-2150,"REUSABLE TEXTILES AND SERVICES",2024-12-01,2027-11-30,
4706,AD-FA-2152,"BATTERIES AND BATTERY PRODUCTS",2024-12-01,2025-12-31,
5388,AD-FA-2185,"PAPER TOWELS TISSUES DISPENSER",2025-10-01,2029-10-31,
5293,AD-FA-769,NULL,2025-03-01,2025-04-30,
5052,AD-FA-770,NULL,2024-02-01,2025-05-31,
4695,AD-FA-814,"CAN LINERS",2022-07-01,2029-07-31,
4707,AD-LA-694,"SAFETY PHLEBOTOMY AND SPECIMEN",2024-12-01,2027-11-30,
4832,AD-MM-631,"BLOOD PRESSURE CUFFS AND ACCS",2022-07-01,2027-05-31,
5018,AD-MM-748,"CLEANING VALIDATION SUPPORT",2022-07-01,2028-11-30,
5029,AD-MM-750,NULL,2024-03-01,2025-05-31,
5280,AD-NS-1000,NULL,2025-03-01,2025-04-30,
4740,AD-NS-1187,"DISPOSABLE NON-STERILE APPAREL",2022-07-01,2027-11-30,
5216,AD-NS-1223,NULL,2024-03-01,2025-05-31,
4946,AD-NS-1250,NULL,2024-02-01,2025-05-31,
4736,AD-NS-1252,"ORAL CARE",2022-07-01,2028-07-31,
4734,AD-NS-1306,"ENTEROSTOMAL THERAPY PRODUCTS",2022-07-01,2026-03-31,
4725,AD-NS-1308,"ENTEROSTOMAL THERAPY PRODUCTS",2022-07-01,2026-03-31,
4922,AD-NS-1342,"SHARPS DISPOSAL CONTAINERS",2022-07-01,2028-04-30,
4719,AD-NS-1388,NULL,2024-01-01,2025-05-31,
4974,AD-NS-1458,NULL,2024-03-01,2025-05-31,
5015,AD-NS-1459,"SOAPS LOTIONS WATERLESS RINSES",2022-07-01,2027-04-30,
5296,AD-NS-1599,NULL,2025-03-01,2025-03-31,
4712,AD-NS-1627,"SAFETY IV CATHETERS",2022-10-01,2025-09-30,
5060,AD-NS-1631,"SAFETY HYPODERMIC PRODUCTS",2022-12-01,2025-09-30,
4713,AD-NS-1641,"STANDARD HYPODERMIC PRODUCTS",2022-12-01,2025-09-30,
4747,AD-NS-1646,"BANDAGES, DRESSINGS AND GAUZE",2022-11-01,2025-10-31,
4876,AD-NS-1655,"HOT AND COLD PACKS",2022-12-01,2025-11-30,
4845,AD-NS-1668,NULL,2024-02-01,2025-05-31,
4741,AD-NS-1680,"PHYSICAL THERAPY PRODUCTS",2023-03-01,2029-05-31,
4672,AD-NS-1687,"SUCTION CANISTERS YANKAUERS",2023-05-01,2026-04-30,
5169,AD-NS-1694,NULL,2024-04-01,2025-05-31,
4693,AD-NS-1744,"RESPIRATORY THERAPY DISPOSABLE",2023-05-01,2026-08-31,
4720,AD-NS-1755,"RESPIRATORY THERAPY DELIVERY",2023-05-01,2026-08-31,
5389,AD-NS-1780,"BLADDER SCANNERS",2023-06-01,2028-08-31,
4764,AD-NS-1796,NULL,2024-01-01,2025-05-31,
4705,AD-NS-1840,NULL,2024-01-01,2025-05-31,
4709,AD-NS-1853,NULL,2024-01-01,2025-05-31,
